,fecha,año,semana,estacion,contaminante,promedio_contaminante
107,2013-42,2013,42,12,pm25,34.18452380952381
108,2013-43,2013,43,25,pm25,21.529761904761905
109,2013-43,2013,43,12,pm25,32.291666666666664
110,2013-44,2013,44,25,pm25,18.272151898734176
111,2013-44,2013,44,12,pm25,31.85542168674699
112,2013-45,2013,45,25,pm25,17.422619047619047
113,2013-45,2013,45,12,pm25,31.353293413173652
114,2013-46,2013,46,25,pm25,29.824324324324323
115,2013-46,2013,46,12,pm25,36.69642857142857
116,2013-47,2013,47,25,pm25,26.35542168674699
117,2013-47,2013,47,12,pm25,39.75
118,2013-48,2013,48,25,pm25,23.25595238095238
119,2013-48,2013,48,12,pm25,40.89090909090909
120,2013-49,2013,49,25,pm25,22.88961038961039
121,2013-49,2013,49,12,pm25,39.267857142857146
122,2013-50,2013,50,25,pm25,26.538922155688624
123,2013-50,2013,50,12,pm25,41.82142857142857
124,2013-51,2013,51,25,pm25,25.345238095238095
125,2013-51,2013,51,12,pm25,37.56547619047619
126,2013-52,2013,52,25,pm25,36.765957446808514
127,2013-52,2013,52,12,pm25,37.765957446808514
128,2014-0,2014,0,25,pm25,37.47899159663866
129,2014-0,2014,0,12,pm25,35.559322033898304
130,2014-1,2014,1,25,pm25,33.4
131,2014-1,2014,1,12,pm25,37.10179640718563
132,2014-2,2014,2,25,pm25,29.83582089552239
133,2014-2,2014,2,12,pm25,41.160493827160494
134,2014-3,2014,3,25,pm25,26.751724137931035
135,2014-3,2014,3,12,pm25,39.9277108433735
136,2014-4,2014,4,25,pm25,33.32727272727273
137,2014-4,2014,4,12,pm25,42.46341463414634
138,2014-5,2014,5,25,pm25,29.849624060150376
139,2014-5,2014,5,12,pm25,40.56287425149701
140,2014-5,2014,5,48,pm25,40.76223776223776
141,2014-6,2014,6,25,pm25,30.866666666666667
142,2014-6,2014,6,12,pm25,40.00606060606061
143,2014-6,2014,6,48,pm25,43.94642857142857
144,2014-7,2014,7,25,pm25,46.52095808383233
145,2014-7,2014,7,12,pm25,54.25
146,2014-7,2014,7,48,pm25,55.295180722891565
147,2014-8,2014,8,25,pm25,35.15568862275449
148,2014-8,2014,8,12,pm25,46.47560975609756
149,2014-8,2014,8,48,pm25,47.275449101796404
150,2014-9,2014,9,25,pm25,40.38181818181818
151,2014-9,2014,9,12,pm25,46.01149425287356
152,2014-9,2014,9,48,pm25,49.7639751552795
153,2014-10,2014,10,25,pm25,46.410714285714285
154,2014-10,2014,10,12,pm25,49.78064516129032
155,2014-10,2014,10,48,pm25,55.607142857142854
156,2014-11,2014,11,25,pm25,44.68707482993197
157,2014-11,2014,11,12,pm25,49.875
158,2014-11,2014,11,48,pm25,54.654761904761905
159,2014-12,2014,12,25,pm25,35.903030303030306
160,2014-12,2014,12,12,pm25,39.636986301369866
161,2014-12,2014,12,48,pm25,46.915151515151514
162,2014-13,2014,13,25,pm25,40.23170731707317
163,2014-13,2014,13,12,pm25,42.90419161676647
164,2014-13,2014,13,48,pm25,53.34567901234568
165,2014-14,2014,14,25,pm25,25.17365269461078
166,2014-14,2014,14,12,pm25,33.125
167,2014-14,2014,14,48,pm25,45.375
168,2014-15,2014,15,25,pm25,19.437125748502993
169,2014-15,2014,15,12,pm25,31.418181818181818
170,2014-15,2014,15,48,pm25,37.55357142857143
171,2014-16,2014,16,25,pm25,20.803571428571427
172,2014-16,2014,16,12,pm25,34.36363636363637
173,2014-16,2014,16,48,pm25,43.18072289156626
174,2014-17,2014,17,25,pm25,21.624242424242425
175,2014-17,2014,17,12,pm25,35.50920245398773
176,2014-17,2014,17,48,pm25,46.041916167664674
177,2014-18,2014,18,25,pm25,22.397590361445783
178,2014-18,2014,18,12,pm25,35.29761904761905
179,2014-18,2014,18,48,pm25,42.029761904761905
180,2014-19,2014,19,25,pm25,16.640243902439025
181,2014-19,2014,19,12,pm25,26.60843373493976
182,2014-19,2014,19,48,pm25,35.75595238095238
183,2014-20,2014,20,25,pm25,20.48502994011976
184,2014-20,2014,20,12,pm25,31.047619047619047
185,2014-20,2014,20,48,pm25,43.86309523809524
186,2014-21,2014,21,25,pm25,17.261904761904763
187,2014-21,2014,21,12,pm25,27.92814371257485
188,2014-21,2014,21,48,pm25,43.10897435897436
189,2014-22,2014,22,25,pm25,14.16564417177914
190,2014-22,2014,22,12,pm25,27.12727272727273
191,2014-22,2014,22,48,pm25,31.915032679738562
192,2014-23,2014,23,25,pm25,12.970059880239521
193,2014-23,2014,23,12,pm25,24.908256880733944
194,2014-23,2014,23,48,pm25,36.012121212121215
195,2014-24,2014,24,25,pm25,14.550898203592814
196,2014-24,2014,24,12,pm25,28.8159509202454
197,2014-24,2014,24,48,pm25,31.851190476190474
198,2014-25,2014,25,25,pm25,27.063492063492063
199,2014-25,2014,25,12,pm25,36.2111801242236
200,2014-25,2014,25,48,pm25,37.875
201,2014-26,2014,26,25,pm25,24.06547619047619
202,2014-26,2014,26,12,pm25,28.828220858895705
203,2014-26,2014,26,48,pm25,33.396103896103895
204,2014-27,2014,27,25,pm25,25.833333333333332
205,2014-27,2014,27,12,pm25,28.396341463414632
206,2014-27,2014,27,48,pm25,28.06578947368421
207,2014-28,2014,28,25,pm25,29.69277108433735
208,2014-28,2014,28,12,pm25,30.3109756097561
209,2014-28,2014,28,48,pm25,32.0472972972973
210,2014-29,2014,29,25,pm25,28.491017964071855
211,2014-29,2014,29,12,pm25,29.76829268292683
212,2014-29,2014,29,48,pm25,30.509677419354837
213,2014-30,2014,30,25,pm25,28.904191616766468
214,2014-30,2014,30,12,pm25,29.848484848484848
215,2014-30,2014,30,48,pm25,30.9375
216,2014-31,2014,31,25,pm25,29.386904761904763
217,2014-31,2014,31,12,pm25,32.08074534161491
218,2014-31,2014,31,48,pm25,30.3625
219,2014-32,2014,32,25,pm25,30.46794871794872
220,2014-32,2014,32,12,pm25,30.128048780487806
221,2014-32,2014,32,48,pm25,35.90604026845637
222,2014-33,2014,33,25,pm25,29.73939393939394
223,2014-33,2014,33,12,pm25,31.27972027972028
224,2014-33,2014,33,48,pm25,37.8974358974359
225,2014-34,2014,34,25,pm25,28.94776119402985
226,2014-34,2014,34,12,pm25,31.536585365853657
227,2014-34,2014,34,48,pm25,35.73913043478261
228,2014-35,2014,35,25,pm25,30.404907975460123
229,2014-35,2014,35,12,pm25,32.36875
230,2014-35,2014,35,48,pm25,39.959349593495936
231,2014-36,2014,36,25,pm25,31.547619047619047
232,2014-36,2014,36,12,pm25,32.33742331288344
233,2014-36,2014,36,48,pm25,34.63291139240506
234,2014-37,2014,37,25,pm25,31.436363636363637
235,2014-37,2014,37,12,pm25,37.26060606060606
236,2014-37,2014,37,48,pm25,35.66887417218543
237,2014-38,2014,38,25,pm25,29.042168674698797
238,2014-38,2014,38,12,pm25,32.13496932515337
239,2014-38,2014,38,48,pm25,40.31055900621118
240,2014-39,2014,39,25,pm25,29.055900621118013
241,2014-39,2014,39,12,pm25,28.927710843373493
242,2014-39,2014,39,48,pm25,42.86708860759494
243,2014-40,2014,40,25,pm25,37.42424242424242
244,2014-40,2014,40,12,pm25,43.31547619047619
245,2014-40,2014,40,48,pm25,50.373493975903614
246,2014-41,2014,41,25,pm25,34.83229813664596
247,2014-41,2014,41,12,pm25,36.23030303030303
248,2014-41,2014,41,48,pm25,48.427083333333336
249,2014-42,2014,42,25,pm25,31.696428571428573
250,2014-42,2014,42,12,pm25,42.993975903614455
251,2014-42,2014,42,48,pm25,45.1764705882353
252,2014-43,2014,43,25,pm25,36.775
253,2014-43,2014,43,12,pm25,48.55421686746988
254,2014-43,2014,43,48,pm25,44.50909090909091
255,2014-44,2014,44,25,pm25,36.40718562874252
256,2014-44,2014,44,12,pm25,49.88622754491018
257,2014-44,2014,44,48,pm25,48.477987421383645
258,2014-45,2014,45,25,pm25,38.25149700598802
259,2014-45,2014,45,12,pm25,49.11042944785276
260,2014-45,2014,45,48,pm25,41.39102564102564
261,2014-46,2014,46,25,pm25,34.55421686746988
262,2014-46,2014,46,12,pm25,42.5688622754491
263,2014-46,2014,46,48,pm25,44.22560975609756
264,2014-47,2014,47,25,pm25,32.466257668711656
265,2014-47,2014,47,12,pm25,45.712574850299404
266,2014-47,2014,47,48,pm25,45.666666666666664
267,2014-48,2014,48,25,pm25,31.13095238095238
268,2014-48,2014,48,12,pm25,47.84431137724551
269,2014-48,2014,48,48,pm25,52.535714285714285
270,2014-49,2014,49,25,pm25,33.24698795180723
271,2014-49,2014,49,12,pm25,45.75151515151515
272,2014-49,2014,49,48,pm25,40.41095890410959
273,2014-50,2014,50,25,pm25,32.52095808383233
274,2014-50,2014,50,12,pm25,42.74850299401198
275,2014-50,2014,50,48,pm25,34.785714285714285
276,2014-51,2014,51,25,pm25,30.622754491017965
277,2014-51,2014,51,12,pm25,34.33532934131737
278,2014-51,2014,51,48,pm25,38.58083832335329
279,2014-52,2014,52,25,pm25,28.95774647887324
280,2014-52,2014,52,12,pm25,33.736111111111114
281,2014-52,2014,52,48,pm25,33.916666666666664
282,2015-0,2015,0,25,no2,16.6875
283,2015-0,2015,0,25,ozono,12.010416666666666
284,2015-0,2015,0,25,no,12.583333333333334
285,2015-0,2015,0,25,nox,29.291666666666668
286,2015-0,2015,0,12,pm25,34.0
287,2015-0,2015,0,48,pm25,26.583333333333332
288,2015-0,2015,0,41,ozono,17.732291666666658
289,2015-0,2015,0,46,pm10,46.427083333333336
290,2015-0,2015,0,6,no2,18.135416666666668
291,2015-0,2015,0,6,no,22.166666666666668
292,2015-0,2015,0,6,nox,35.822916666666664
293,2015-0,2015,0,6,pm10,30.5
294,2015-1,2015,1,25,no2,20.654545454545456
295,2015-1,2015,1,25,ozono,13.005988023952096
296,2015-1,2015,1,25,no,15.06060606060606
297,2015-1,2015,1,25,nox,35.763636363636365
298,2015-1,2015,1,12,pm25,40.95757575757576
299,2015-1,2015,1,48,pm25,38.69090909090909
300,2015-1,2015,1,41,ozono,19.038181818181823
301,2015-1,2015,1,46,pm10,58.81012658227848
302,2015-1,2015,1,6,no2,22.732142857142858
303,2015-1,2015,1,6,no,19.778625954198475
304,2015-1,2015,1,6,nox,37.648809523809526
305,2015-1,2015,1,6,pm10,37.65408805031446
306,2015-2,2015,2,25,no2,17.428571428571427
307,2015-2,2015,2,25,ozono,7.911949685534591
308,2015-2,2015,2,25,no,6.571428571428571
309,2015-2,2015,2,25,nox,24.0
310,2015-2,2015,2,12,pm25,48.0
311,2015-2,2015,2,48,pm25,44.4277108433735
312,2015-2,2015,2,41,ozono,12.798181818181812
313,2015-2,2015,2,46,pm10,69.61832061068702
314,2015-2,2015,2,6,no2,25.927710843373493
315,2015-2,2015,2,6,no,30.908496732026144
316,2015-2,2015,2,6,nox,54.21686746987952
317,2015-2,2015,2,6,pm10,42.209580838323355
318,2015-3,2015,3,25,no2,20.986928104575163
319,2015-3,2015,3,25,ozono,8.934131736526947
320,2015-3,2015,3,25,no,21.642857142857142
321,2015-3,2015,3,25,nox,42.577922077922075
322,2015-3,2015,3,48,pm25,45.23728813559322
323,2015-3,2015,3,41,ozono,12.720121951219511
324,2015-3,2015,3,46,pm10,63.131736526946106
325,2015-3,2015,3,6,no2,24.845238095238095
326,2015-3,2015,3,6,no,32.64375
327,2015-3,2015,3,6,nox,55.86904761904762
328,2015-3,2015,3,6,pm10,37.49404761904762
329,2015-4,2015,4,25,no2,18.99390243902439
330,2015-4,2015,4,25,ozono,8.036144578313253
331,2015-4,2015,4,25,no,23.866666666666667
332,2015-4,2015,4,25,nox,42.82424242424243
333,2015-4,2015,4,12,pm25,37.48672566371681
334,2015-4,2015,4,48,pm25,37.65217391304348
335,2015-4,2015,4,41,ozono,12.573793103448276
336,2015-4,2015,4,46,pm10,66.32142857142857
337,2015-4,2015,4,6,no2,16.82634730538922
338,2015-4,2015,4,6,no,34.65432098765432
339,2015-4,2015,4,6,nox,50.37125748502994
340,2015-4,2015,4,6,pm10,43.56547619047619
341,2015-5,2015,5,25,no2,23.615942028985508
342,2015-5,2015,5,25,ozono,7.242857142857143
343,2015-5,2015,5,25,no,32.028985507246375
344,2015-5,2015,5,25,nox,55.72463768115942
345,2015-5,2015,5,12,pm25,41.41317365269461
346,2015-5,2015,5,48,pm25,59.24
347,2015-5,2015,5,41,ozono,11.759615384615387
348,2015-5,2015,5,46,pm10,67.75
349,2015-5,2015,5,6,no2,14.368421052631579
350,2015-5,2015,5,6,no,39.8796992481203
351,2015-5,2015,5,6,nox,54.330827067669176
352,2015-5,2015,5,6,pm10,47.551515151515154
353,2015-6,2015,6,25,no2,18.132530120481928
354,2015-6,2015,6,25,ozono,7.846666666666667
355,2015-6,2015,6,25,no,19.94578313253012
356,2015-6,2015,6,25,nox,38.06024096385542
357,2015-6,2015,6,12,pm25,35.92857142857143
358,2015-6,2015,6,48,pm25,50.241379310344826
359,2015-6,2015,6,41,ozono,11.932530120481932
360,2015-6,2015,6,46,pm10,66.2909090909091
361,2015-6,2015,6,6,no2,13.681528662420382
362,2015-6,2015,6,6,no,37.46153846153846
363,2015-6,2015,6,6,nox,51.01282051282051
364,2015-6,2015,6,6,pm10,42.463855421686745
365,2015-7,2015,7,25,no2,21.796296296296298
366,2015-7,2015,7,25,ozono,13.126506024096386
367,2015-7,2015,7,25,no,19.364197530864196
368,2015-7,2015,7,25,nox,41.27160493827161
369,2015-7,2015,7,12,pm25,43.18452380952381
370,2015-7,2015,7,48,pm25,59.617283950617285
371,2015-7,2015,7,41,ozono,17.362499999999994
372,2015-7,2015,7,46,pm10,75.58333333333333
373,2015-7,2015,7,6,no2,26.720238095238095
374,2015-7,2015,7,6,no,24.339285714285715
375,2015-7,2015,7,6,nox,50.86309523809524
376,2015-7,2015,7,6,pm10,51.0
377,2015-8,2015,8,25,no2,24.123456790123456
378,2015-8,2015,8,25,ozono,14.875
379,2015-8,2015,8,25,no,19.395061728395063
380,2015-8,2015,8,25,nox,43.53086419753087
381,2015-8,2015,8,12,pm25,51.5625
382,2015-8,2015,8,48,pm25,67.82312925170068
383,2015-8,2015,8,41,ozono,17.86590909090909
384,2015-8,2015,8,46,pm10,74.1
385,2015-8,2015,8,6,no2,31.142857142857142
386,2015-8,2015,8,6,no,23.51497005988024
387,2015-8,2015,8,6,nox,54.26946107784431
388,2015-8,2015,8,6,pm10,54.62874251497006
389,2015-9,2015,9,25,no2,25.38323353293413
390,2015-9,2015,9,25,ozono,15.886904761904763
391,2015-9,2015,9,25,no,17.808383233532933
392,2015-9,2015,9,25,nox,43.221556886227546
393,2015-9,2015,9,12,pm25,62.70700636942675
394,2015-9,2015,9,48,pm25,69.58433734939759
